entryname,source,author,date,url,teamname,ranking
Score_241106_MIN,Score,Staff,241106,https://www.thescore.com/nba/news/3090348,Minnesota Timberwolves,10
Score_241106_ORL,Score,Staff,241106,https://www.thescore.com/nba/news/3090348,Orlando Magic,11
Score_241106_SAC,Score,Staff,241106,https://www.thescore.com/nba/news/3090348,Sacramento Kings,12
Score_241106_DEN,Score,Staff,241106,https://www.thescore.com/nba/news/3090348,Denver Nuggets,13
Score_241106_HOU,Score,Staff,241106,https://www.thescore.com/nba/news/3090348,Houston Rockets,14
Score_241106_IND,Score,Staff,241106,https://www.thescore.com/nba/news/3090348,Indiana Pacers,15
Score_241106_MIA,Score,Staff,241106,https://www.thescore.com/nba/news/3090348,Miami Heat,16
Score_241106_NOP,Score,Staff,241106,https://www.thescore.com/nba/news/3090348,New Orleans Pelicans,17
Score_241106_SAS,Score,Staff,241106,https://www.thescore.com/nba/news/3090348,San Antonio Spurs,18
Score_241106_ATL,Score,Staff,241106,https://www.thescore.com/nba/news/3090348,Atlanta Hawks,19
Score_241106_LAC,Score,Staff,241106,https://www.thescore.com/nba/news/3090348,Los Angeles Clippers,20
Score_241106_BRK,Score,Staff,241106,https://www.thescore.com/nba/news/3090348,Brooklyn Nets,21
Score_241106_CHI,Score,Staff,241106,https://www.thescore.com/nba/news/3090348,Chicago Bulls,22
Score_241106_DET,Score,Staff,241106,https://www.thescore.com/nba/news/3090348,Detroit Pistons,23
Score_241106_TOR,Score,Staff,241106,https://www.thescore.com/nba/news/3090348,Toronto Raptors,24
Score_241106_PHI,Score,Staff,241106,https://www.thescore.com/nba/news/3090348,Philadelphia 76ers,25
Score_241106_MIL,Score,Staff,241106,https://www.thescore.com/nba/news/3090348,Milwaukee Bucks,26
Score_241106_CHA,Score,Staff,241106,https://www.thescore.com/nba/news/3090348,Charlotte Hornets,27
Score_241106_POR,Score,Staff,241106,https://www.thescore.com/nba/news/3090348,Portland Trail Blazers,28
Score_241106_WAS,Score,Staff,241106,https://www.thescore.com/nba/news/3090348,Washington Wizards,29
Score_241106_UTA,Score,Staff,241106,https://www.thescore.com/nba/news/3090348,Utah Jazz,30
NBA_241111_CLE,NBA,John Schuhmann,241111,https://www.nba.com/news/power-rankings-2024-25-week-4,Cleveland Cavaliers,1
NBA_241111_GSW,NBA,John Schuhmann,241111,https://www.nba.com/news/power-rankings-2024-25-week-4,Golden State Warriors,2
NBA_241111_OKC,NBA,John Schuhmann,241111,https://www.nba.com/news/power-rankings-2024-25-week-4,Oklahoma City Thunder,3
NBA_241111_BOS,NBA,John Schuhmann,241111,https://www.nba.com/news/power-rankings-2024-25-week-4,Boston Celtics,4
NBA_241111_PHO,NBA,John Schuhmann,241111,https://www.nba.com/news/power-rankings-2024-25-week-4,Phoenix Suns,5
NBA_241111_DEN,NBA,John Schuhmann,241111,https://www.nba.com/news/power-rankings-2024-25-week-4,Denver Nuggets,6
NBA_241111_MIN,NBA,John Schuhmann,241111,https://www.nba.com/news/power-rankings-2024-25-week-4,Minnesota Timberwolves,7
NBA_241111_MEM,NBA,John Schuhmann,241111,https://www.nba.com/news/power-rankings-2024-25-week-4,Memphis Grizzlies,8
NBA_241111_SAC,NBA,John Schuhmann,241111,https://www.nba.com/news/power-rankings-2024-25-week-4,Sacramento Kings,9
NBA_241111_IND,NBA,John Schuhmann,241111,https://www.nba.com/news/power-rankings-2024-25-week-4,Indiana Pacers,10
NBA_241111_DAL,NBA,John Schuhmann,241111,https://www.nba.com/news/power-rankings-2024-25-week-4,Dallas Mavericks,11
NBA_241111_HOU,NBA,John Schuhmann,241111,https://www.nba.com/news/power-rankings-2024-25-week-4,Houston Rockets,12
NBA_241111_LAL,NBA,John Schuhmann,241111,https://www.nba.com/news/power-rankings-2024-25-week-4,Los Angeles Lakers,13
NBA_241111_LAC,NBA,John Schuhmann,241111,https://www.nba.com/news/power-rankings-2024-25-week-4,Los Angeles Clippers,14
NBA_241111_NYK,NBA,John Schuhmann,241111,https://www.nba.com/news/power-rankings-2024-25-week-4,New York Knicks,15
NBA_241111_MIA,NBA,John Schuhmann,241111,https://www.nba.com/news/power-rankings-2024-25-week-4,Miami Heat,16
NBA_241111_ORL,NBA,John Schuhmann,241111,https://www.nba.com/news/power-rankings-2024-25-week-4,Orlando Magic,17
NBA_241111_BRK,NBA,John Schuhmann,241111,https://www.nba.com/news/power-rankings-2024-25-week-4,Brooklyn Nets,18
NBA_241111_CHI,NBA,John Schuhmann,241111,https://www.nba.com/news/power-rankings-2024-25-week-4,Chicago Bulls,19
NBA_241111_ATL,NBA,John Schuhmann,241111,https://www.nba.com/news/power-rankings-2024-25-week-4,Atlanta Hawks,20
NBA_241111_SAS,NBA,John Schuhmann,241111,https://www.nba.com/news/power-rankings-2024-25-week-4,San Antonio Spurs,21
NBA_241111_CHA,NBA,John Schuhmann,241111,https://www.nba.com/news/power-rankings-2024-25-week-4,Charlotte Hornets,22
NBA_241111_DET,NBA,John Schuhmann,241111,https://www.nba.com/news/power-rankings-2024-25-week-4,Detroit Pistons,23
NBA_241111_MIL,NBA,John Schuhmann,241111,https://www.nba.com/news/power-rankings-2024-25-week-4,Milwaukee Bucks,24
NBA_241111_PHI,NBA,John Schuhmann,241111,https://www.nba.com/news/power-rankings-2024-25-week-4,Philadelphia 76ers,25
NBA_241111_TOR,NBA,John Schuhmann,241111,https://www.nba.com/news/power-rankings-2024-25-week-4,Toronto Raptors,26
NBA_241111_POR,NBA,John Schuhmann,241111,https://www.nba.com/news/power-rankings-2024-25-week-4,Portland Trail Blazers,27
NBA_241111_NOP,NBA,John Schuhmann,241111,https://www.nba.com/news/power-rankings-2024-25-week-4,New Orleans Pelicans,28
NBA_241111_UTA,NBA,John Schuhmann,241111,https://www.nba.com/news/power-rankings-2024-25-week-4,Utah Jazz,29
NBA_241111_WAS,NBA,John Schuhmann,241111,https://www.nba.com/news/power-rankings-2024-25-week-4,Washington Wizards,30
BR_241108_UTA,BR,Andy Bailey,241108,https://bleacherreport.com/articles/10142491-nba-power-rankings-where-all-30-teams-rank,Utah Jazz,30
BR_241108_WAS,BR,Andy Bailey,241108,https://bleacherreport.com/articles/10142491-nba-power-rankings-where-all-30-teams-rank,Washington Wizards,29
BR_241108_POR,BR,Andy Bailey,241108,https://bleacherreport.com/articles/10142491-nba-power-rankings-where-all-30-teams-rank,Portland Trail Blazers,28
BR_241108_TOR,BR,Andy Bailey,241108,https://bleacherreport.com/articles/10142491-nba-power-rankings-where-all-30-teams-rank,Toronto Raptors,27
BR_241108_NOP,BR,Andy Bailey,241108,https://bleacherreport.com/articles/10142491-nba-power-rankings-where-all-30-teams-rank,New Orleans Pelicans,26
BR_241108_CHI,BR,Andy Bailey,241108,https://bleacherreport.com/articles/10142491-nba-power-rankings-where-all-30-teams-rank,Chicago Bulls,25
BR_241108_DET,BR,Andy Bailey,241108,https://bleacherreport.com/articles/10142491-nba-power-rankings-where-all-30-teams-rank,Detroit Pistons,24
BR_241108_CHA,BR,Andy Bailey,241108,https://bleacherreport.com/articles/10142491-nba-power-rankings-where-all-30-teams-rank,Charlotte Hornets,23
BR_241108_BRK,BR,Andy Bailey,241108,https://bleacherreport.com/articles/10142491-nba-power-rankings-where-all-30-teams-rank,Brooklyn Nets,22
BR_241108_ATL,BR,Andy Bailey,241108,https://bleacherreport.com/articles/10142491-nba-power-rankings-where-all-30-teams-rank,Atlanta Hawks,21
BR_241108_SAS,BR,Andy Bailey,241108,https://bleacherreport.com/articles/10142491-nba-power-rankings-where-all-30-teams-rank,San Antonio Spurs,20
BR_241108_PHI,BR,Andy Bailey,241108,https://bleacherreport.com/articles/10142491-nba-power-rankings-where-all-30-teams-rank,Philadelphia 76ers,19
BR_241108_MIA,BR,Andy Bailey,241108,https://bleacherreport.com/articles/10142491-nba-power-rankings-where-all-30-teams-rank,Miami Heat,18
BR_241108_ORL,BR,Andy Bailey,241108,https://bleacherreport.com/articles/10142491-nba-power-rankings-where-all-30-teams-rank,Orlando Magic,17
BR_241108_LAC,BR,Andy Bailey,241108,https://bleacherreport.com/articles/10142491-nba-power-rankings-where-all-30-teams-rank,Los Angeles Clippers,16
BR_241108_MIL,BR,Andy Bailey,241108,https://bleacherreport.com/articles/10142491-nba-power-rankings-where-all-30-teams-rank,Milwaukee Bucks,15
BR_241108_LAL,BR,Andy Bailey,241108,https://bleacherreport.com/articles/10142491-nba-power-rankings-where-all-30-teams-rank,Los Angeles Lakers,14
BR_241108_IND,BR,Andy Bailey,241108,https://bleacherreport.com/articles/10142491-nba-power-rankings-where-all-30-teams-rank,Indiana Pacers,13
BR_241108_NYK,BR,Andy Bailey,241108,https://bleacherreport.com/articles/10142491-nba-power-rankings-where-all-30-teams-rank,New York Knicks,12
BR_241108_MEM,BR,Andy Bailey,241108,https://bleacherreport.com/articles/10142491-nba-power-rankings-where-all-30-teams-rank,Memphis Grizzlies,11
BR_241108_HOU,BR,Andy Bailey,241108,https://bleacherreport.com/articles/10142491-nba-power-rankings-where-all-30-teams-rank,Houston Rockets,10
BR_241108_SAC,BR,Andy Bailey,241108,https://bleacherreport.com/articles/10142491-nba-power-rankings-where-all-30-teams-rank,Sacramento Kings,9
BR_241108_DEN,BR,Andy Bailey,241108,https://bleacherreport.com/articles/10142491-nba-power-rankings-where-all-30-teams-rank,Denver Nuggets,8
BR_241108_MIN,BR,Andy Bailey,241108,https://bleacherreport.com/articles/10142491-nba-power-rankings-where-all-30-teams-rank,Minnesota Timberwolves,7
BR_241108_DAL,BR,Andy Bailey,241108,https://bleacherreport.com/articles/10142491-nba-power-rankings-where-all-30-teams-rank,Dallas Mavericks,6
BR_241108_PHO,BR,Andy Bailey,241108,https://bleacherreport.com/articles/10142491-nba-power-rankings-where-all-30-teams-rank,Phoenix Suns,5
BR_241108_GSW,BR,Andy Bailey,241108,https://bleacherreport.com/articles/10142491-nba-power-rankings-where-all-30-teams-rank,Golden State Warriors,4
BR_241108_CLE,BR,Andy Bailey,241108,https://bleacherreport.com/articles/10142491-nba-power-rankings-where-all-30-teams-rank,Cleveland Cavaliers,3
BR_241108_OKC,BR,Andy Bailey,241108,https://bleacherreport.com/articles/10142491-nba-power-rankings-where-all-30-teams-rank,Oklahoma City Thunder,2
BR_241108_BOS,BR,Andy Bailey,241108,https://bleacherreport.com/articles/10142491-nba-power-rankings-where-all-30-teams-rank,Boston Celtics,1
ESPN_241113_CLE,ESPN,Staff,241113,https://www.espn.com/nba/story/_/id/42333682/nba-power-rankings-most-important-role-player-all-30-teams,Cleveland Cavaliers,1
ESPN_241113_BOS,ESPN,Staff,241113,https://www.espn.com/nba/story/_/id/42333682/nba-power-rankings-most-important-role-player-all-30-teams,Boston Celtics,2
ESPN_241113_OKC,ESPN,Staff,241113,https://www.espn.com/nba/story/_/id/42333682/nba-power-rankings-most-important-role-player-all-30-teams,Oklahoma City Thunder,3
ESPN_241113_GSW,ESPN,Staff,241113,https://www.espn.com/nba/story/_/id/42333682/nba-power-rankings-most-important-role-player-all-30-teams,Golden State Warriors,4
ESPN_241113_DEN,ESPN,Staff,241113,https://www.espn.com/nba/story/_/id/42333682/nba-power-rankings-most-important-role-player-all-30-teams,Denver Nuggets,5
ESPN_241113_PHO,ESPN,Staff,241113,https://www.espn.com/nba/story/_/id/42333682/nba-power-rankings-most-important-role-player-all-30-teams,Phoenix Suns,6
ESPN_241113_MIN,ESPN,Staff,241113,https://www.espn.com/nba/story/_/id/42333682/nba-power-rankings-most-important-role-player-all-30-teams,Minnesota Timberwolves,7
ESPN_241113_MEM,ESPN,Staff,241113,https://www.espn.com/nba/story/_/id/42333682/nba-power-rankings-most-important-role-player-all-30-teams,Memphis Grizzlies,8
ESPN_241113_DAL,ESPN,Staff,241113,https://www.espn.com/nba/story/_/id/42333682/nba-power-rankings-most-important-role-player-all-30-teams,Dallas Mavericks,9
ESPN_241113_HOU,ESPN,Staff,241113,https://www.espn.com/nba/story/_/id/42333682/nba-power-rankings-most-important-role-player-all-30-teams,Houston Rockets,10
ESPN_241113_LAL,ESPN,Staff,241113,https://www.espn.com/nba/story/_/id/42333682/nba-power-rankings-most-important-role-player-all-30-teams,Los Angeles Lakers,11
ESPN_241113_NYK,ESPN,Staff,241113,https://www.espn.com/nba/story/_/id/42333682/nba-power-rankings-most-important-role-player-all-30-teams,New York Knicks,12
ESPN_241113_LAC,ESPN,Staff,241113,https://www.espn.com/nba/story/_/id/42333682/nba-power-rankings-most-important-role-player-all-30-teams,Los Angeles Clippers,13
ESPN_241113_IND,ESPN,Staff,241113,https://www.espn.com/nba/story/_/id/42333682/nba-power-rankings-most-important-role-player-all-30-teams,Indiana Pacers,14
ESPN_241113_SAC,ESPN,Staff,241113,https://www.espn.com/nba/story/_/id/42333682/nba-power-rankings-most-important-role-player-all-30-teams,Sacramento Kings,15
ESPN_241113_MIA,ESPN,Staff,241113,https://www.espn.com/nba/story/_/id/42333682/nba-power-rankings-most-important-role-player-all-30-teams,Miami Heat,16
ESPN_241113_ORL,ESPN,Staff,241113,https://www.espn.com/nba/story/_/id/42333682/nba-power-rankings-most-important-role-player-all-30-teams,Orlando Magic,17
ESPN_241113_SAS,ESPN,Staff,241113,https://www.espn.com/nba/story/_/id/42333682/nba-power-rankings-most-important-role-player-all-30-teams,San Antonio Spurs,18
ESPN_241113_BRK,ESPN,Staff,241113,https://www.espn.com/nba/story/_/id/42333682/nba-power-rankings-most-important-role-player-all-30-teams,Brooklyn Nets,19
ESPN_241113_MIL,ESPN,Staff,241113,https://www.espn.com/nba/story/_/id/42333682/nba-power-rankings-most-important-role-player-all-30-teams,Milwaukee Bucks,20
ESPN_241113_ATL,ESPN,Staff,241113,https://www.espn.com/nba/story/_/id/42333682/nba-power-rankings-most-important-role-player-all-30-teams,Atlanta Hawks,21
ESPN_241113_PHI,ESPN,Staff,241113,https://www.espn.com/nba/story/_/id/42333682/nba-power-rankings-most-important-role-player-all-30-teams,Philadelphia 76ers,22
ESPN_241113_CHA,ESPN,Staff,241113,https://www.espn.com/nba/story/_/id/42333682/nba-power-rankings-most-important-role-player-all-30-teams,Charlotte Hornets,23
ESPN_241113_CHI,ESPN,Staff,241113,https://www.espn.com/nba/story/_/id/42333682/nba-power-rankings-most-important-role-player-all-30-teams,Chicago Bulls,24
ESPN_241113_DET,ESPN,Staff,241113,https://www.espn.com/nba/story/_/id/42333682/nba-power-rankings-most-important-role-player-all-30-teams,Detroit Pistons,25
ESPN_241113_NOP,ESPN,Staff,241113,https://www.espn.com/nba/story/_/id/42333682/nba-power-rankings-most-important-role-player-all-30-teams,New Orleans Pelicans,26
ESPN_241113_POR,ESPN,Staff,241113,https://www.espn.com/nba/story/_/id/42333682/nba-power-rankings-most-important-role-player-all-30-teams,Portland Trail Blazers,27
ESPN_241113_TOR,ESPN,Staff,241113,https://www.espn.com/nba/story/_/id/42333682/nba-power-rankings-most-important-role-player-all-30-teams,Toronto Raptors,28
ESPN_241113_WAS,ESPN,Staff,241113,https://www.espn.com/nba/story/_/id/42333682/nba-power-rankings-most-important-role-player-all-30-teams,Washington Wizards,29
ESPN_241113_UTA,ESPN,Staff,241113,https://www.espn.com/nba/story/_/id/42333682/nba-power-rankings-most-important-role-player-all-30-teams,Utah Jazz,30
CBS_241114_CLE,CBS,Colin Ward-Henninger,241114,https://www.cbssports.com/nba/powerrankings/,Cleveland Cavaliers,1
CBS_241114_GSW,CBS,Colin Ward-Henninger,241114,https://www.cbssports.com/nba/powerrankings/,Golden State Warriors,2
CBS_241114_OKC,CBS,Colin Ward-Henninger,241114,https://www.cbssports.com/nba/powerrankings/,Oklahoma City Thunder,3
CBS_241114_BOS,CBS,Colin Ward-Henninger,241114,https://www.cbssports.com/nba/powerrankings/,Boston Celtics,4
CBS_241114_PHO,CBS,Colin Ward-Henninger,241114,https://www.cbssports.com/nba/powerrankings/,Phoenix Suns,5
CBS_241114_HOU,CBS,Colin Ward-Henninger,241114,https://www.cbssports.com/nba/powerrankings/,Houston Rockets,6
CBS_241114_DEN,CBS,Colin Ward-Henninger,241114,https://www.cbssports.com/nba/powerrankings/,Denver Nuggets,7
CBS_241114_LAL,CBS,Colin Ward-Henninger,241114,https://www.cbssports.com/nba/powerrankings/,Los Angeles Lakers,8
CBS_241114_MEM,CBS,Colin Ward-Henninger,241114,https://www.cbssports.com/nba/powerrankings/,Memphis Grizzlies,9
CBS_241114_ORL,CBS,Colin Ward-Henninger,241114,https://www.cbssports.com/nba/powerrankings/,Orlando Magic,10
CBS_241114_SAC,CBS,Colin Ward-Henninger,241114,https://www.cbssports.com/nba/powerrankings/,Sacramento Kings,11
CBS_241114_DAL,CBS,Colin Ward-Henninger,241114,https://www.cbssports.com/nba/powerrankings/,Dallas Mavericks,12
CBS_241114_NYK,CBS,Colin Ward-Henninger,241114,https://www.cbssports.com/nba/powerrankings/,New York Knicks,13
CBS_241114_MIN,CBS,Colin Ward-Henninger,241114,https://www.cbssports.com/nba/powerrankings/,Minnesota Timberwolves,14
CBS_241114_LAC,CBS,Colin Ward-Henninger,241114,https://www.cbssports.com/nba/powerrankings/,Los Angeles Clippers,15
CBS_241114_SAS,CBS,Colin Ward-Henninger,241114,https://www.cbssports.com/nba/powerrankings/,San Antonio Spurs,16
CBS_241114_IND,CBS,Colin Ward-Henninger,241114,https://www.cbssports.com/nba/powerrankings/,Indiana Pacers,17
CBS_241114_DET,CBS,Colin Ward-Henninger,241114,https://www.cbssports.com/nba/powerrankings/,Detroit Pistons,18
CBS_241114_MIA,CBS,Colin Ward-Henninger,241114,https://www.cbssports.com/nba/powerrankings/,Miami Heat,19
CBS_241114_BRK,CBS,Colin Ward-Henninger,241114,https://www.cbssports.com/nba/powerrankings/,Brooklyn Nets,20
CBS_241114_MIL,CBS,Colin Ward-Henninger,241114,https://www.cbssports.com/nba/powerrankings/,Milwaukee Bucks,21
CBS_241114_CHI,CBS,Colin Ward-Henninger,241114,https://www.cbssports.com/nba/powerrankings/,Chicago Bulls,22
CBS_241114_ATL,CBS,Colin Ward-Henninger,241114,https://www.cbssports.com/nba/powerrankings/,Atlanta Hawks,23
CBS_241114_POR,CBS,Colin Ward-Henninger,241114,https://www.cbssports.com/nba/powerrankings/,Portland Trail Blazers,24
CBS_241114_CHA,CBS,Colin Ward-Henninger,241114,https://www.cbssports.com/nba/powerrankings/,Charlotte Hornets,25
CBS_241114_PHI,CBS,Colin Ward-Henninger,241114,https://www.cbssports.com/nba/powerrankings/,Philadelphia 76ers,26
CBS_241114_NOP,CBS,Colin Ward-Henninger,241114,https://www.cbssports.com/nba/powerrankings/,New Orleans Pelicans,27
CBS_241114_TOR,CBS,Colin Ward-Henninger,241114,https://www.cbssports.com/nba/powerrankings/,Toronto Raptors,28
CBS_241114_WAS,CBS,Colin Ward-Henninger,241114,https://www.cbssports.com/nba/powerrankings/,Washington Wizards,29
CBS_241114_UTA,CBS,Colin Ward-Henninger,241114,https://www.cbssports.com/nba/powerrankings/,Utah Jazz,30
BR_241115_WAS,BR,Andy Bailey,241115,https://bleacherreport.com/articles/10142906-nba-power-rankings-lakers-nuggets-climb-while-cavs-challenge-for-top-spot,Washington Wizards,30
BR_241115_UTA,BR,Andy Bailey,241115,https://bleacherreport.com/articles/10142906-nba-power-rankings-lakers-nuggets-climb-while-cavs-challenge-for-top-spot,Utah Jazz,29
BR_241115_TOR,BR,Andy Bailey,241115,https://bleacherreport.com/articles/10142906-nba-power-rankings-lakers-nuggets-climb-while-cavs-challenge-for-top-spot,Toronto Raptors,28
BR_241115_NOP,BR,Andy Bailey,241115,https://bleacherreport.com/articles/10142906-nba-power-rankings-lakers-nuggets-climb-while-cavs-challenge-for-top-spot,New Orleans Pelicans,27
BR_241115_POR,BR,Andy Bailey,241115,https://bleacherreport.com/articles/10142906-nba-power-rankings-lakers-nuggets-climb-while-cavs-challenge-for-top-spot,Portland Trail Blazers,26
BR_241115_CHI,BR,Andy Bailey,241115,https://bleacherreport.com/articles/10142906-nba-power-rankings-lakers-nuggets-climb-while-cavs-challenge-for-top-spot,Chicago Bulls,25
BR_241115_CHA,BR,Andy Bailey,241115,https://bleacherreport.com/articles/10142906-nba-power-rankings-lakers-nuggets-climb-while-cavs-challenge-for-top-spot,Charlotte Hornets,24
BR_241115_DET,BR,Andy Bailey,241115,https://bleacherreport.com/articles/10142906-nba-power-rankings-lakers-nuggets-climb-while-cavs-challenge-for-top-spot,Detroit Pistons,23
BR_241115_PHI,BR,Andy Bailey,241115,https://bleacherreport.com/articles/10142906-nba-power-rankings-lakers-nuggets-climb-while-cavs-challenge-for-top-spot,Philadelphia 76ers,22
BR_241115_BRK,BR,Andy Bailey,241115,https://bleacherreport.com/articles/10142906-nba-power-rankings-lakers-nuggets-climb-while-cavs-challenge-for-top-spot,Brooklyn Nets,21
BR_241115_ATL,BR,Andy Bailey,241115,https://bleacherreport.com/articles/10142906-nba-power-rankings-lakers-nuggets-climb-while-cavs-challenge-for-top-spot,Atlanta Hawks,20
BR_241115_MIA,BR,Andy Bailey,241115,https://bleacherreport.com/articles/10142906-nba-power-rankings-lakers-nuggets-climb-while-cavs-challenge-for-top-spot,Miami Heat,19
BR_241115_SAS,BR,Andy Bailey,241115,https://bleacherreport.com/articles/10142906-nba-power-rankings-lakers-nuggets-climb-while-cavs-challenge-for-top-spot,San Antonio Spurs,18
BR_241115_IND,BR,Andy Bailey,241115,https://bleacherreport.com/articles/10142906-nba-power-rankings-lakers-nuggets-climb-while-cavs-challenge-for-top-spot,Indiana Pacers,17
BR_241115_MIL,BR,Andy Bailey,241115,https://bleacherreport.com/articles/10142906-nba-power-rankings-lakers-nuggets-climb-while-cavs-challenge-for-top-spot,Milwaukee Bucks,16
BR_241115_LAC,BR,Andy Bailey,241115,https://bleacherreport.com/articles/10142906-nba-power-rankings-lakers-nuggets-climb-while-cavs-challenge-for-top-spot,Los Angeles Clippers,15
BR_241115_NYK,BR,Andy Bailey,241115,https://bleacherreport.com/articles/10142906-nba-power-rankings-lakers-nuggets-climb-while-cavs-challenge-for-top-spot,New York Knicks,14
BR_241115_ORL,BR,Andy Bailey,241115,https://bleacherreport.com/articles/10142906-nba-power-rankings-lakers-nuggets-climb-while-cavs-challenge-for-top-spot,Orlando Magic,13
BR_241115_DAL,BR,Andy Bailey,241115,https://bleacherreport.com/articles/10142906-nba-power-rankings-lakers-nuggets-climb-while-cavs-challenge-for-top-spot,Dallas Mavericks,12
BR_241115_MIN,BR,Andy Bailey,241115,https://bleacherreport.com/articles/10142906-nba-power-rankings-lakers-nuggets-climb-while-cavs-challenge-for-top-spot,Minnesota Timberwolves,11
BR_241115_LAL,BR,Andy Bailey,241115,https://bleacherreport.com/articles/10142906-nba-power-rankings-lakers-nuggets-climb-while-cavs-challenge-for-top-spot,Los Angeles Lakers,10
BR_241115_MEM,BR,Andy Bailey,241115,https://bleacherreport.com/articles/10142906-nba-power-rankings-lakers-nuggets-climb-while-cavs-challenge-for-top-spot,Memphis Grizzlies,9
BR_241115_HOU,BR,Andy Bailey,241115,https://bleacherreport.com/articles/10142906-nba-power-rankings-lakers-nuggets-climb-while-cavs-challenge-for-top-spot,Houston Rockets,8
BR_241115_SAC,BR,Andy Bailey,241115,https://bleacherreport.com/articles/10142906-nba-power-rankings-lakers-nuggets-climb-while-cavs-challenge-for-top-spot,Sacramento Kings,7
BR_241115_PHO,BR,Andy Bailey,241115,https://bleacherreport.com/articles/10142906-nba-power-rankings-lakers-nuggets-climb-while-cavs-challenge-for-top-spot,Phoenix Suns,6
BR_241115_OKC,BR,Andy Bailey,241115,https://bleacherreport.com/articles/10142906-nba-power-rankings-lakers-nuggets-climb-while-cavs-challenge-for-top-spot,Oklahoma City Thunder,5
BR_241115_DEN,BR,Andy Bailey,241115,https://bleacherreport.com/articles/10142906-nba-power-rankings-lakers-nuggets-climb-while-cavs-challenge-for-top-spot,Denver Nuggets,4
BR_241115_GSW,BR,Andy Bailey,241115,https://bleacherreport.com/articles/10142906-nba-power-rankings-lakers-nuggets-climb-while-cavs-challenge-for-top-spot,Golden State Warriors,3
BR_241115_CLE,BR,Andy Bailey,241115,https://bleacherreport.com/articles/10142906-nba-power-rankings-lakers-nuggets-climb-while-cavs-challenge-for-top-spot,Cleveland Cavaliers,2
BR_241115_BOS,BR,Andy Bailey,241115,https://bleacherreport.com/articles/10142906-nba-power-rankings-lakers-nuggets-climb-while-cavs-challenge-for-top-spot,Boston Celtics,1
NBA_241118_CLE,NBA,John Schuhmann,241118,https://www.nba.com/news/power-rankings-2024-25-week-5,Cleveland Cavaliers,1
NBA_241118_GSW,NBA,John Schuhmann,241118,https://www.nba.com/news/power-rankings-2024-25-week-5,Golden State Warriors,2
NBA_241118_OKC,NBA,John Schuhmann,241118,https://www.nba.com/news/power-rankings-2024-25-week-5,Oklahoma City Thunder,3
NBA_241118_BOS,NBA,John Schuhmann,241118,https://www.nba.com/news/power-rankings-2024-25-week-5,Boston Celtics,4
NBA_241118_HOU,NBA,John Schuhmann,241118,https://www.nba.com/news/power-rankings-2024-25-week-5,Houston Rockets,5
NBA_241118_MIN,NBA,John Schuhmann,241118,https://www.nba.com/news/power-rankings-2024-25-week-5,Minnesota Timberwolves,6
NBA_241118_DAL,NBA,John Schuhmann,241118,https://www.nba.com/news/power-rankings-2024-25-week-5,Dallas Mavericks,7
NBA_241118_DEN,NBA,John Schuhmann,241118,https://www.nba.com/news/power-rankings-2024-25-week-5,Denver Nuggets,8
NBA_241118_LAL,NBA,John Schuhmann,241118,https://www.nba.com/news/power-rankings-2024-25-week-5,Los Angeles Lakers,9
NBA_241118_MEM,NBA,John Schuhmann,241118,https://www.nba.com/news/power-rankings-2024-25-week-5,Memphis Grizzlies,10
NBA_241118_SAC,NBA,John Schuhmann,241118,https://www.nba.com/news/power-rankings-2024-25-week-5,Sacramento Kings,11
NBA_241118_PHO,NBA,John Schuhmann,241118,https://www.nba.com/news/power-rankings-2024-25-week-5,Phoenix Suns,12
NBA_241118_NYK,NBA,John Schuhmann,241118,https://www.nba.com/news/power-rankings-2024-25-week-5,New York Knicks,13
NBA_241118_ORL,NBA,John Schuhmann,241118,https://www.nba.com/news/power-rankings-2024-25-week-5,Orlando Magic,14
NBA_241118_IND,NBA,John Schuhmann,241118,https://www.nba.com/news/power-rankings-2024-25-week-5,Indiana Pacers,15
NBA_241118_LAC,NBA,John Schuhmann,241118,https://www.nba.com/news/power-rankings-2024-25-week-5,Los Angeles Clippers,16
NBA_241118_DET,NBA,John Schuhmann,241118,https://www.nba.com/news/power-rankings-2024-25-week-5,Detroit Pistons,17
NBA_241118_MIA,NBA,John Schuhmann,241118,https://www.nba.com/news/power-rankings-2024-25-week-5,Miami Heat,18
NBA_241118_SAS,NBA,John Schuhmann,241118,https://www.nba.com/news/power-rankings-2024-25-week-5,San Antonio Spurs,19
NBA_241118_ATL,NBA,John Schuhmann,241118,https://www.nba.com/news/power-rankings-2024-25-week-5,Atlanta Hawks,20
NBA_241118_BRK,NBA,John Schuhmann,241118,https://www.nba.com/news/power-rankings-2024-25-week-5,Brooklyn Nets,21
NBA_241118_POR,NBA,John Schuhmann,241118,https://www.nba.com/news/power-rankings-2024-25-week-5,Portland Trail Blazers,22
NBA_241118_CHA,NBA,John Schuhmann,241118,https://www.nba.com/news/power-rankings-2024-25-week-5,Charlotte Hornets,23
NBA_241118_CHI,NBA,John Schuhmann,241118,https://www.nba.com/news/power-rankings-2024-25-week-5,Chicago Bulls,24
NBA_241118_MIL,NBA,John Schuhmann,241118,https://www.nba.com/news/power-rankings-2024-25-week-5,Milwaukee Bucks,25
NBA_241118_PHI,NBA,John Schuhmann,241118,https://www.nba.com/news/power-rankings-2024-25-week-5,Philadelphia 76ers,26
